"","cluster","nei","min_d","ncom","name","value"
"405",5,10,0.1,3,"ch",2620.44341228456
"406",6,10,0.1,3,"sil",0.417497316837336
"407",6,10,0.1,3,"db",0.848388684897314
"408",6,10,0.1,3,"ch",2522.77552350315
"409",7,10,0.1,3,"sil",0.382806416441917
"410",7,10,0.1,3,"db",0.900686972713226
"411",7,10,0.1,3,"ch",2475.8925489196
"412",8,10,0.1,3,"sil",0.423740545769043
"413",8,10,0.1,3,"db",0.853985106467574
"414",8,10,0.1,3,"ch",2538.56064415993
"415",9,10,0.1,3,"sil",0.343179474092263
"416",9,10,0.1,3,"db",0.794217669953424
"417",9,10,0.1,3,"ch",2477.76513727603
"418",10,10,0.1,3,"sil",0.375157424994916
"419",10,10,0.1,3,"db",0.867956627526074
"420",10,10,0.1,3,"ch",2469.90484784341
"421",1,10,0.25,3,"sil",0
"422",1,10,0.25,3,"db",0
"423",1,10,0.25,3,"ch",0
"424",2,10,0.25,3,"sil",0.313457359659405
"425",2,10,0.25,3,"db",1.35431511455813
"426",2,10,0.25,3,"ch",922.151399408693
"427",3,10,0.25,3,"sil",0.387435683566143
"428",3,10,0.25,3,"db",0.995319971904559
"429",3,10,0.25,3,"ch",1273.71273942906
"430",4,10,0.25,3,"sil",0.388178798387021
"431",4,10,0.25,3,"db",0.935096924682013
"432",4,10,0.25,3,"ch",1343.78037042034
"433",5,10,0.25,3,"sil",0.391777433812833
"434",5,10,0.25,3,"db",0.923198368273664
"435",5,10,0.25,3,"ch",1386.61879408817
"436",6,10,0.25,3,"sil",0.372957580096046
"437",6,10,0.25,3,"db",0.907543027456839
"438",6,10,0.25,3,"ch",1391.27763546482
"439",7,10,0.25,3,"sil",0.358799326480433
"440",7,10,0.25,3,"db",0.929780118977811
"441",7,10,0.25,3,"ch",1403.12520142926
"442",8,10,0.25,3,"sil",0.380465305088775
"443",8,10,0.25,3,"db",0.896298105035979
"444",8,10,0.25,3,"ch",1369.51501524218
"445",9,10,0.25,3,"sil",0.351050037703674
"446",9,10,0.25,3,"db",0.953641053191196
"447",9,10,0.25,3,"ch",1352.45554584923
"448",10,10,0.25,3,"sil",0.328219308474522
"449",10,10,0.25,3,"db",0.981025054864977
"450",10,10,0.25,3,"ch",1302.76564943011
"451",1,10,0.5,3,"sil",0
"452",1,10,0.5,3,"db",0
"453",1,10,0.5,3,"ch",0
"454",2,10,0.5,3,"sil",0.298265111587367
"455",2,10,0.5,3,"db",1.33007349736099
"456",2,10,0.5,3,"ch",932.016268390936
"457",3,10,0.5,3,"sil",0.332076502033711
"458",3,10,0.5,3,"db",1.11059659894815
"459",3,10,0.5,3,"ch",1035.07034534832
"460",4,10,0.5,3,"sil",0.342428780497796
"461",4,10,0.5,3,"db",1.00970751022226
"462",4,10,0.5,3,"ch",1084.38617956106
"463",5,10,0.5,3,"sil",0.341956748381576
"464",5,10,0.5,3,"db",1.01054388966834
"465",5,10,0.5,3,"ch",1099.06710361044
"466",6,10,0.5,3,"sil",0.319878212606915
"467",6,10,0.5,3,"db",0.97120555990744
"468",6,10,0.5,3,"ch",1103.43828150188
"469",7,10,0.5,3,"sil",0.33819519736826
